step,optimizer_step_est,tokens_b,progress,loss,l2,ce,plan,lr,sps
25200,1575.0,0.8257536,16.51462724127084,1.3228,0.6906,0.1713,0.733,0.000331,3.2
25300,1581.25,0.8290304,16.580161476355247,1.3145,0.6946,0.1771,0.7261,0.000333,3.3
25400,1587.5,0.8323072,16.645695711439657,1.3175,0.6943,0.1805,0.7197,0.000334,3.2
25500,1593.75,0.835584,16.711229946524064,1.3204,0.6909,0.1635,0.7185,0.000335,3.2
25600,1600.0,0.8388608,16.77676418160847,1.3077,0.6914,0.1777,0.7129,0.000337,3.2
25700,1606.25,0.8421376,16.84229841669288,1.2939,0.6839,0.1777,0.7106,0.000338,3.2
25800,1612.5,0.8454144,16.907832651777287,1.3052,0.6945,0.1764,0.7072,0.000339,3.3
25900,1618.75,0.8486912,16.973366886861697,1.3024,0.6896,0.1756,0.7082,0.00034,3.2
26000,1625.0,0.851968,17.038901121946104,1.2958,0.6962,0.1735,0.6954,0.000342,3.2
26100,1631.25,0.8552448,17.10443535703051,1.2873,0.6854,0.171,0.6993,0.000343,3.2
26200,1637.5,0.8585216,17.16996959211492,1.2885,0.692,0.1707,0.6912,0.000344,3.2
26300,1643.75,0.8617984,17.235503827199327,1.2785,0.6886,0.1717,0.6839,0.000346,3.3
26400,1650.0,0.8650752,17.301038062283737,1.2716,0.6854,0.1728,0.6856,0.000347,3.3
26500,1656.25,0.868352,17.366572297368148,1.2727,0.6879,0.1734,0.6834,0.000348,3.2
26600,1662.5,0.8716288,17.432106532452554,1.275,0.6917,0.1715,0.678,0.00035,3.2
26700,1668.75,0.8749056,17.49764076753696,1.2694,0.6836,0.1756,0.6809,0.000351,3.2
26800,1675.0,0.8781824,17.56317500262137,1.2704,0.6902,0.1729,0.6734,0.000352,3.2
26900,1681.25,0.8814592,17.628709237705777,1.2671,0.6923,0.1725,0.6691,0.000354,3.2
27000,1687.5,0.884736,17.694243472790188,1.2682,0.6884,0.1583,0.6731,0.000355,3.2
27100,1693.75,0.8880128,17.759777707874594,1.2625,0.6885,0.1631,0.6653,0.000356,3.3
27200,1700.0,0.8912896,17.825311942959,1.2582,0.6896,0.166,0.6594,0.000358,3.2
